Hebrew,English
מחשב,computer
שולחן,table
מקרר,refrigerator
ספה,sofa
דלת,door
טלפון,telephone
חלון,window
ארון,cupboard
כיסא,chair
תנור,stove
מיטה,bed
טלביזיה,television
מעיל,coat
חגורה,belt
כובע,hat
חצאית,skirt
נעל,shoe
חולצת-טי,tee-shirt
חולצה,shirt
סודר,sweater
גרב,sock
מכנסיים קצרים,shorts
שימלה,dress
מכנסיים,pants
מכונית,car
בית ספר,school
קולנוע,cinema
כביש,road
חנות,store
מלון,hotel
אופניים,bicycle
מונית,taxi
אוטובוס,bus
מסעדה,restaurant
בית,house
רכבת,train
יער,forest
אגם,lake
ים,sea
גבעה,hill
עץ,tree
הר,mountain
פרח,flower
מדבר,desert
נהר,river
גשר,bridge
שדה,field
חוה,farm
קל,light
כבד,heavy
קטן,small
גדול,big
חדש,new
ישן,old
איטי,slow
מהיר,fast
מלוכלך,dirty
נקי,clean
יקר,expensive
זול,inexpensive
חתול,cat
ברוז,duck
פרה,cow
עכבר,mouse
כלב,dog
שפן,rabbit
קוף,monkey
סוס,horse
דג,fish
אריה,lion
כבש,sheep
פיל,elephant
אצבע,finger
זרוע,arm
פה,mouth
ראש,head
רגל,leg
אוזן,ear
בטן,stomach
יד,hand
שיער,hair
עין,eye
גב,back
אף,nose
תודה,thank you
בבקשה,please
לא,no
כן,yes
להתראות,goodbye
שלום,hello
היום,today
אתמול,yesterday
איפה,where
מחר,tomorrow
שם,there
פה,here
כמה,how much
סליחה,sorry
עכשיו,now
